sku,supplier,supplier_sku,cost_gbp,pack_size,pack_size_raw,price_is_placeholder,sku_is_placeholder,invoice_name
BLAK-REFU-SACK,Brakes,A 21357,0.10,,100X1EA,yes,,Black Sack Compactor (P B111)
BLAK-REFU-SACK,Brakes,A 28990,11.19,,1 x 200 Sacks,,,Black Compactor Sacks.
BLAK-REFU-SACK,Makro,233125,13.49,,1 90pk,,,CP Ex Large HD Refuse Sacks
BLUE-CENT-ROLL,Booker,247807,11.99,,1 6pk,,,CP Std Blue 2Ply C/Feed Roll
BLUE-CENT-ROLL,Booker,278992,17.99,,1 6pk,,,CP Prem Hvy Dty Blue CFeed
BLUE-CENT-ROLL,Booker,299225,6.99,,1 6pk,,,CLE 2 Ply Blue Centrefeed
BLUE-CENT-ROLL,Makro,306564,4.99,,1 6pk,,,Blue Centrefeed 2ply
BLUE-MICR-CLTH,Brakes,107568,10.28,,1x10,,,Blue Exel Microfibre Cloth
BLUE-RASP-BONB,Amazon,B00052L4UE,8.32,1,1kg,,,Blue Raspberry BonBons Bag
BLUE-STRP-STRW,Amazon,B0FBW7R8M8,4.99,,Pack of 100,,,"Blue Striped Paper Straws 7.75 Inches, Pack of 100 Biodegradable Disposable Blue White Drinking Straws for Bar Drinks Bridal Shower Birthday Party Suppliers"
BLUE-STRP-STRW,Amazon,NOSKU,0.10,,"7.75 Inches, Pack of 100",yes,yes,Blue Striped Paper Straws
BLUE-STRW-BERY,Sainsbury's,NOSKU,3.50,,,,yes,BLUEBERIE/STRAWBS
BLUE-VINY-GLVL,Brakes,29548,5.09,,1x100,,,Blue Powder-free Vinyl LARGE
BLUE-VINY-GLVL,Brakes,591184,5.39,,1x100,,,Blue Powder-free Vinyl LARGE GD13L
BLUE-VINY-GLVM,B&M,NOSKU,2.99,,30,,yes,ADDIS LATEX/FREE GLOVE
BLUE-VINY-GLVM,Brakes,135584,8.56,,1x100,,,Blue Powder-free Vinyl MED GD13M 1x100
BLUE-VINY-GLVM,Brakes,29547,4.59,,1x100,,,Blue Powder-free Vinyl MED
BLUE-VINY-GLVM,Brakes,29548,5.39,,LARGE GD13L 1x100,,,Blue Powder-free Vinyl
BOLD-LAUN-POWD,Brakes,591184,16.16,5.5,1x5.5KG,,,Bold Prof LF&WL Laundry Powder
BOLD-LAUN-POWD,Brakes,A 5001176,16.16,5.5,1 x 5.5kg,,,Bold Professional Lotus Flower & Water Lily Laundry Powder
BRIT-CHEE-SELN,Brakes,104628,17.00,,1x840g,,,British Cheese Board
BRIT-CHEE-SELN,Brakes,C104628,17.07,,1 x 860g,,,British Cheese Board Selection
BRIT-CHEE-SELN,Brakes,NOSKU,17.00,,1x840g,,yes,British Cheese Board 1x840g
BRIT-CHEE-SELN,Sysco,C 104628,0.10,,1 x 860g,yes,,British Cheese Board Selection
BROM-HAND-RDBL,Brakes,A 591186,4.19,,1 x 1,,,137cm RHP Handle Blue
BROM-HAND-RDBL,Brakes,A 591187,4.19,,1 x 1,,,137cm RHP Handle Red
BROM-HAND-YELW,Brakes,A 591188,0.10,,1 x 1,yes,,135cm RHP Handle Yellow
BROM-HAND-YELW,Brakes,A591188,0.10,,1 x 1,yes,,135cm RHP Handle Yellow
BUFF-TRAC-BURB,Booker,127085,104.29,,6 70cl,,,Buffalo Trace Bourbon 40%
BUFF-TRAC-BURB,Booker,127086,17.39,,1 70cl,,,Buffalo Trace Bourbon 40%
BUMB-CREM-LIQR,LWC Drinks,61001302,0.00,0.7,70CL,,,BUMBU CREAM LIQUEUR
BUMB-CREM-LIQR,LWC Drinks,NOSKU,0.00,0.7,70CL,,yes,BUMBU CREAM LIQUEUR *FREE*
CADB-HOT-CHOC,Booker,468991,14.99,,1 2kg,,,Cad Drinking Chocolate
CADB-HOT-CHOC,Brakes,508,38.14,5,1x5kg,,,Cadbury Drinking Chocolate
CADB-HOT-CHOC,Brakes,509,15.67,2,1x2kg,,,Cad Drink Choc Add Milk
CADB-HOT-CHOC,Brakes,510,5.17,0.5,1x500g,,,Cadbury Drinking Chocolate Drum
CADB-HOT-CHOC,Brakes,5596,19.80,2,1x2kg,,,Cad Hot Choc Inst Add Water
CADB-HOT-CHOC,Brakes,A 508,0.10,5,1 x 5kg,yes,,Cadbury Drinking Hot Chocolate
CADB-HOT-CHOC,Brakes,A 509,0.10,,2kg 1 x 2kg,yes,,Cadbury Original Drinking Hot Chocolate Large Tub
CADB-HOT-CHOC,Brakes,A 5596,0.10,2,1 x 2kg,yes,,Cadbury Instant Hot Chocolate
CADB-HOT-CHOC,Brakes,A508,0.10,5,1 x 5kg,yes,,Cadbury Drinking Hot Chocolate
CADB-HOT-CHOC,Brakes,A509,0.10,2,1 x 2kg,yes,,Cadbury Original Drinking Hot Chocolate Large Tub
CADB-HOT-CHOC,Brakes,A510,0.10,0.5,1 x 500g,yes,,Cadbury Drinking Hot Chocolate 500g
CADB-HOT-CHOC,Brakes,A5596,19.80,2,1 x 2kg,,,Cadbury Instant Hot Chocolate
CADB-HOT-CHOC,Sainsbury's,NOSKU,5.00,,,,yes,CADBURY COCOA TIN
